artistName	artistID	genre	img	popularity	numFollowers
Ed Sheeran	6eUKZXaKkcviH0Ku9w2n3V	pop	https://i.scdn.co/image/f0370da3f52161b07a461b4be9a64d0adbfb498d	93	36245447
Drake	3TVXtAsR1Inumwj472S9r4	canadian hip hop	https://i.scdn.co/image/012ecd119617ac24ab56620ace4b81735b172686	100	29542742
Rihanna	5pKCCKE2ajJHZ9KAiaK11H	dance pop	https://i.scdn.co/image/1fc2f537d678d701d7d143a8fd4f0c2f29fbde22	91	28287617
Justin Bieber	1uNFoZAHBGtllmzznpCI3s	canadian pop	https://i.scdn.co/image/5c3cf2ee3494e2da71dcf26303202ec491b26213	90	25620153
Eminem	7dGJo4pcD2V6oG8kP0tJRR	detroit hip hop	https://i.scdn.co/image/60c4daa4721f666c6afaee82a39bd413979a0474	95	22101455
Ariana Grande	66CXWjxzNUsdJxJ2JdwvnR	dance pop	https://i.scdn.co/image/25dd6de55a74237ae84e1b53e083bbd5aadade39	96	20718480
Bruno Mars	0du5cEVh5yTK9QJze8zA0C	pop	https://i.scdn.co/image/aa32d6d4ca2467974403518dd3ebfe8831c5ced1	90	18250034
David Guetta	1Cs0zKBU1kc0i8ypK3B9ai	dance pop	https://i.scdn.co/image/ce083ade33c047d3f2a72d1cfba3bb2f10e7ecea	91	16719731
Beyoncé	6vWDO969PvNqNYHIOW5v0m	dance pop	https://i.scdn.co/image/673cd94546df0536954198867516fee18cee1605	87	16498240
Taylor Swift	06HL4z0CvFAxyc27GXpf02	dance pop	https://i.scdn.co/image/bdaeccb035a8af87b7a70b62217ff5c633ba6c7c	89	16337270
Coldplay	4gzpq5DPGxSnKTe4SA8HAU	permanent wave	https://i.scdn.co/image/d5fcdc130ec341b3e8814da749ba260191c938aa	89	16128618
Shakira	0EmeFodog0BfCgMzAIvKQp	colombian pop	https://i.scdn.co/image/5a8d19c199d9c097600cafefdb967ab0bbdd8c3b	86	14410154
Maroon 5	04gDigrS5kc9YWfZHwBETP	pop	https://i.scdn.co/image/4079ef5effe54ab8cc099e2b6d872899d033b09d	90	14366421
Imagine Dragons	53XhwfbYqKCa1cC15pYq2q	modern rock	https://i.scdn.co/image/01b36ca0f45f2f15117022a2754287a6ca1acdcc	94	14240758
Calvin Harris	7CajNmpbOovFoOoasH2HaY	edm	https://i.scdn.co/image/7b4c05bee8c822c006b372e26ef1b08acc3af45a	91	14164641
The Weeknd	1Xyo4u8uXC1ZmMpatF05PJ	canadian contemporary r&b	https://i.scdn.co/image/a5fa0d35a5070867261d100b879cac028fe96775	90	13433699
Maluma	1r4hJ1h58CWwUQe3MxPuau	reggaeton	https://i.scdn.co/image/3354094d9642e3c78c1774d711bf1e421e807caa	92	13409949
Nicki Minaj	0hCNtLu0JehylgoiP8L4Gh	dance pop	https://i.scdn.co/image/0a1b363175056a5a21b24b57f1a959d63fd162b1	95	13330852
Shawn Mendes	7n2wHs1TKAczGzO7Dd2rGr	canadian pop	https://i.scdn.co/image/8f0e2c4b3c87f144fbbd33e622526259c11a3c64	90	13159989
Adele	4dpARuHxo51G3z768sgnrY	pop	https://i.scdn.co/image/ccbe7b4fef679f821988c78dbd4734471834e3d9	85	12592017
Selena Gomez	0C8ZW7ezQVs4URX5aX7Kqx	dance pop	https://i.scdn.co/image/a8c3605d6f4ca06918d418a4673141e9aae87a7f	91	12396265
Demi Lovato	6S2OmqARrzebs0tKUEyXyp	dance pop	https://i.scdn.co/image/1b7682c463034f7cda95f6ac7a44385dd000422b	87	11704466
Katy Perry	6jJ0s89eD6GaHleKKya26X	dance pop	https://i.scdn.co/image/fcdc433e8ccf8d46d58ac70db322feb9b3328731	83	11610389
One Direction	4AK6F7OLvEQ5QYCBNiQWHq	boy band	https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8	84	11478927
Kendrick Lamar	2YZyLoL8N0Wb9xBt1NhZWg	conscious hip hop	https://i.scdn.co/image/3a836196bfb341f736c7fe2704fb75de53f8dfbb	91	11292547
Avicii	1vCWHaC5f2uS3yhpwWbIA6	big room	https://i.scdn.co/image/81b19a403109c4fe528ee3972137127b85be9519	85	11058534
Queen	1dfeR4HaWDbWqFHLkxsg1d	glam rock	https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982	96	10963237
Linkin Park	6XyY86QOPPrYVGvF9ch6wz	alternative metal	https://i.scdn.co/image/1685533969d5b68cbc630f991e873bd6467f1814	86	10764536
Twenty One Pilots	3YQKmKGau1PzlVlkL1iodx	pop punk	https://i.scdn.co/image/f8e28a81feb9baa0fbc3d69e12587755745a122d	89	10623974
The Beatles	3WrFJ7ztbogyGnTHbHJFl2	british invasion	https://i.scdn.co/image/6fc6ac9af76d292a9cc55c7415ca0a7fb5b1d4ea	88	10120149
Guns N' Roses	3qm84nBOXUEQ2vnTfUTTFC	glam metal	https://i.scdn.co/image/80920b4fc80b6d970e2934eb8abe27014fc60632	82	9733273
A C/D C	711MCceyCBcFnzjGY4Q7Un	album rock	https://i.scdn.co/image/a16c5d95ede008ec905d6ca6d1b5abbf39ad4566	83	9254756
Sia	5WUlDfRSoLAfcVSX1WnrxN	australian dance	https://i.scdn.co/image/652b6bb0dfaf8aa444f4414ee018699260e74306	90	9165782
Red Hot Chili Peppers	0L8ExT028jH3ddEcZwqJJ5	alternative rock	https://i.scdn.co/image/5b2072e522bf3324019a8c2dc3db20116dff0b87	85	9007733
Kanye West	5K4W6rqBFWDnAN6FQUkS6x	pop rap	https://i.scdn.co/image/a12d8543e28d71d9f1e7f5f363c1a6c73316f9e6	92	8781308
Metallica	2ye2Wgw4gimLv2eAKyk1NB	hard rock	https://i.scdn.co/image/5a06711d7fc48d5e0e3f9a3274ffed3f0af1bd91	83	8776995
X X X T E N T A C I O N	15UsOTVnJzReFVN1VCnxy4	emo rap	https://i.scdn.co/image/80eeb2600b7b7eddbef44bcc1fbc87aac9ab2e59	98	8274825
Nicky Jam	1SupJlEpv7RS2tPNRaHViT	latin	https://i.scdn.co/image/ccf7c1af6ac4a0aa33306f0617eccceaa8d105ba	89	8196341
Martin Garrix	60d24wfXkVzDSfLS6hyCjZ	big room	https://i.scdn.co/image/990f17c31b1cb4b4b2bc7b3d4780e2c9fd3a846a	87	7974308
B T S	3Nrfpe0tUJi4K4DXYWgMUX	k-pop	https://i.scdn.co/image/0c9057cb30520f9f883a220051260fc66a2f3ffa	91	7756200
Green Day	7oPftvlwr6VrsViSDV7fJY	permanent wave	https://i.scdn.co/image/b6a3f82183adb83b6e47cb22afc25724b241d038	82	7726359
Nirvana	6olE6TJLqED3rqDCT0FyPh	alternative rock	https://i.scdn.co/image/84282c28d851a700132356381fcfbadc67ff498b	81	7676560
Dua Lipa	6M2wZ9GZgrQXHCFfjv46we	dance pop	https://i.scdn.co/image/7a957e4544ecf57f090c402987d306c927c60297	91	7658506
